order_id,order_date,region,sales_channel,product_name,qty_sold,unit_price,discount_percent,cogs_per_unit,sales_rep,year,month,quarter,gross_revenue,discount_amount,net_revenue,total_cogs,gross_profit,gross_margin_percent
BT-00092,2023-01-01,West,Online,Matte Lipstick,52,310.0,34.2,94.18,Nidhi C,2023,January,1,16120.0,5513.040000000001,10606.96,4897.360000000001,5709.5999999999985,53.82880674575938
BT-00531,2023-01-01,North,Modern Trade,BB Cream 30ml,4,560.0,8.6,231.9,Anjali M,2023,January,1,2240.0,192.64,2047.3600000000001,927.6,1119.7600000000002,54.69287277274149
BT-00761,2023-01-01,Central,Salon Wholesale,Nail Polish Set (12pc),57,620.0,6.0,287.12,Sunita P,2023,January,1,35340.0,2120.4,33219.6,16365.84,16853.76,50.73438572409059
BT-00770,2023-01-01,East,General Trade,Mascara,21,560.0,7.5,209.61,Sneha B,2023,January,1,11760.0,882.0,10878.0,4401.81,6476.19,59.534749034749034
BT-00806,2023-01-01,West,Salon Wholesale,Vitamin C Face Serum 30ml,8,770.0,26.1,231.15,Rahul D,2023,January,1,6160.0,1607.76,4552.24,1849.2,2703.04,59.37824016308455
BT-02772,2023-01-01,North,Pharmacy,Lip Gloss,5,270.0,9.3,82.22,Deepa S,2023,January,1,1350.0,125.55000000000001,1224.45,411.1,813.35,66.42574216995386
BT-02809,2023-01-01,West,Online,Blush Palette,42,800.0,25.8,381.28,Rahul D,2023,January,1,33600.0,8668.800000000001,24931.199999999997,16013.759999999998,8917.439999999999,35.76819407008086
BT-03092,2023-01-01,East,General Trade,Face Wash 100ml,23,240.0,7.5,60.72,Meena G,2023,January,1,5520.0,414.0,5106.0,1396.56,3709.44,72.64864864864865
BT-03484,2023-01-01,North,General Trade,Under Eye Cream 15ml,26,810.0,8.4,295.65,Rohit K,2023,January,1,21060.0,1769.0400000000002,19290.96,7686.9,11604.06,60.1528384279476
BT-03523,2023-01-01,Central,Online,Hydrating Moisturiser 50ml,37,390.0,12.2,142.51,Suresh K,2023,January,1,14430.0,1760.46,12669.54,5272.87,7396.670000000001,58.38151977104141
BT-03620,2023-01-01,South,Pharmacy,Mascara,48,450.0,19.2,186.21,Anand V,2023,January,1,21600.0,4147.2,17452.8,8938.08,8514.72,48.78712871287129
BT-03797,2023-01-01,South,Online,Nail Polish Set (12pc),53,500.0,20.2,231.5,Anand V,2023,January,1,26500.0,5353.0,21147.0,12269.5,8877.5,41.97994987468672
BT-03934,2023-01-01,Central,Online,Vitamin C Face Serum 30ml,53,650.0,12.4,229.38,Suresh K,2023,January,1,34450.0,4271.8,30178.2,12157.14,18021.06,59.7154899894626
BT-04323,2023-01-01,West,Modern Trade,Blush Palette,6,560.0,34.8,264.66,Priya S,2023,January,1,3360.0,1169.28,2190.7200000000003,1587.96,602.7600000000002,27.514241893076257
BT-04790,2023-01-01,West,Modern Trade,Face Wash 100ml,43,270.0,33.1,81.16,Priya S,2023,January,1,11610.0,3842.9100000000003,7767.09,3489.8799999999997,4277.210000000001,55.068371809776906
BT-00075,2023-01-02,West,Modern Trade,Lip Gloss,33,290.0,34.5,98.08,Priya S,2023,January,1,9570.0,3301.6499999999996,6268.35,3236.64,3031.7100000000005,48.36535930508029
BT-00469,2023-01-02,South,Online,Under Eye Cream 15ml,52,870.0,12.5,289.36,Anand V,2023,January,1,45240.0,5655.0,39585.0,15046.720000000001,24538.28,61.988834154351395
BT-00503,2023-01-02,North,Pharmacy,Face Wash 100ml,56,260.0,7.1,74.0,Anjali M,2023,January,1,14560.0,1033.76,13526.24,4144.0,9382.24,69.3632524633601
BT-01470,2023-01-02,East,Pharmacy,Under Eye Cream 15ml,57,840.0,7.0,277.2,Meena G,2023,January,1,47880.0,3351.6000000000004,44528.4,15800.4,28728.0,64.51612903225806
BT-01555,2023-01-02,West,Pharmacy,Vitamin C Face Serum 30ml,19,480.0,35.4,135.6,Priya S,2023,January,1,9120.0,3228.48,5891.52,2576.4,3315.1200000000003,56.26934984520125
BT-01556,2023-01-02,West,Modern Trade,Face Wash 100ml,56,270.0,42.4,78.97,Priya S,2023,January,1,15120.0,6410.88,8709.119999999999,4422.32,4286.799999999999,49.22196502057613
BT-01623,2023-01-02,East,Pharmacy,Micellar Cleansing Water,18,380.0,10.4,116.13,Meena G,2023,January,1,6840.0,711.36,6128.64,2090.34,4038.3,65.8922697368421
BT-02347,2023-01-02,North,Pharmacy,Face Wash 100ml,35,180.0,4.2,57.65,Deepa S,2023,January,1,6300.0,264.6,6035.4,2017.75,4017.6499999999996,66.56808165158895
BT-02916,2023-01-02,Central,Online,Matte Lipstick,18,340.0,6.4,132.43,Sunita P,2023,January,1,6120.0,391.68,5728.32,2383.7400000000002,3344.5799999999995,58.38675213675213
BT-03238,2023-01-02,North,Salon Wholesale,Kajal Eye Pencil,59,220.0,12.1,67.69,Anjali M,2023,January,1,12980.0,1570.58,11409.42,3993.71,7415.71,64.9963801840935
BT-03303,2023-01-02,Central,Modern Trade,Kajal Eye Pencil,30,180.0,5.4,53.06,Sunita P,2023,January,1,5400.0,291.6,5108.4,1591.8000000000002,3516.5999999999995,68.83955837444209
BT-03878,2023-01-02,South,Modern Trade,Matte Lipstick,54,350.0,20.9,121.73,Priya R,2023,January,1,18900.0,3950.1,14949.9,6573.42,8376.48,56.03034134007585
BT-04651,2023-01-02,Central,Modern Trade,SPF 50 Sunscreen 100g,60,320.0,7.2,139.14,Vikram N,2023,January,1,19200.0,1382.4,17817.6,8348.4,9469.199999999999,53.1452047413793
BT-04829,2023-01-02,North,Online,BB Cream 30ml,25,640.0,10.3,223.74,Deepa S,2023,January,1,16000.0,1648.0000000000002,14352.0,5593.5,8758.5,61.02633779264214
BT-00383,2023-01-03,Central,Modern Trade,Under Eye Cream 15ml,14,640.0,11.1,180.16,Suresh K,2023,January,1,8960.0,994.5600000000001,7965.44,2522.24,5443.2,68.33520809898764
BT-00593,2023-01-03,South,Modern Trade,Matte Lipstick,13,340.0,15.4,126.17,Anand V,2023,January,1,4420.0,680.68,3739.32,1640.21,2099.11,56.1361424002225
BT-01239,2023-01-03,Central,Salon Wholesale,Nail Polish Set (12pc),59,590.0,10.0,230.51,Sunita P,2023,January,1,34810.0,3481.0,31329.0,13600.09,17728.91,56.589453860640305
BT-01272,2023-01-03,East,Online,Compact Powder,11,450.0,15.5,179.95,Sneha B,2023,January,1,4950.0,767.25,4182.75,1979.4499999999998,2203.3,52.6758711374096
BT-01418,2023-01-03,North,General Trade,BB Cream 30ml,35,500.0,10.6,204.7,Anjali M,2023,January,1,17500.0,1855.0,15645.0,7164.5,8480.5,54.205816554809836
BT-01949,2023-01-03,North,Online,Rose Water Toner 200ml,29,250.0,8.0,68.42,Deepa S,2023,January,1,7250.0,580.0,6670.0,1984.18,4685.82,70.25217391304346
BT-02371,2023-01-03,Central,General Trade,Rose Water Toner 200ml,24,290.0,10.6,80.19,Sunita P,2023,January,1,6960.0,737.76,6222.24,1924.56,4297.68,69.069659800972
BT-04168,2023-01-03,Central,Salon Wholesale,Face Wash 100ml,57,310.0,4.3,91.73,Sunita P,2023,January,1,17670.0,759.81,16910.19,5228.610000000001,11681.579999999998,69.08012269525061
BT-04989,2023-01-03,East,Online,BB Cream 30ml,53,570.0,14.5,229.82,Meena G,2023,January,1,30210.0,4380.45,25829.55,12180.46,13649.09,52.842926028521596
BT-00333,2023-01-04,West,Modern Trade,Mascara,34,500.0,30.1,207.05,Priya S,2023,January,1,17000.0,5117.0,11883.0,7039.700000000001,4843.299999999999,40.75822603719599
BT-00370,2023-01-04,West,General Trade,Lip Gloss,23,270.0,28.0,76.03,Rahul D,2023,January,1,6210.0,1738.8000000000002,4471.2,1748.69,2722.5099999999998,60.88991769547325
BT-00423,2023-01-04,West,Modern Trade,Hydrating Moisturiser 50ml,45,390.0,32.8,142.74,Nidhi C,2023,January,1,17550.0,5756.4,11793.6,6423.3,5370.3,45.535714285714285
BT-00526,2023-01-04,Central,Modern Trade,Night Repair Cream 50ml,17,790.0,6.8,322.4,Sunita P,2023,January,1,13430.0,913.24,12516.76,5480.799999999999,7035.960000000001,56.21231053403597
BT-02106,2023-01-04,South,Modern Trade,Micellar Cleansing Water,19,460.0,12.6,135.01,Anand V,2023,January,1,8740.0,1101.24,7638.76,2565.1899999999996,5073.570000000001,66.41876430205951
BT-02795,2023-01-04,East,Online,Compact Powder,36,450.0,12.0,175.19,Pooja N,2023,January,1,16200.0,1944.0,14256.0,6306.84,7949.16,55.760101010101
BT-02987,2023-01-04,North,Salon Wholesale,Matte Lipstick,35,430.0,11.2,147.23,Anjali M,2023,January,1,15050.0,1685.6,13364.4,5153.049999999999,8211.35,61.44196522103499
BT-04028,2023-01-04,East,Modern Trade,Face Wash 100ml,37,220.0,7.2,56.12,Sneha B,2023,January,1,8140.0,586.08,7553.92,2076.44,5477.48,72.51175548589342
